"NETCD","STATCD","PARAMCD","PTID","DAYDT","HOURAV","VFLAGCD","FREQ_IN","PARAMDSB"
2,6,25,6,"2018-10-11 01:59:00.000",25.8852195739746,9,"1h","PM10"
2,6,7,26,"2018-10-11 01:59:00.000",93.7881088256836,9,"1h","O3"
2,12,25,11,"2018-10-11 01:59:00.000",34.3406600952148,9,"1h","PM10"
2,20,4,4,"2018-10-11 01:59:00.000",4.41964149475098,9,"1h","NO2"
2,22,4,3,"2018-10-11 01:59:00.000",3.4832911491394,9,"1h","NO2"
2,23,7,1,"2018-10-11 01:59:00.000",95.1847076416016,9,"1h","O3"
2,23,25,2,"2018-10-11 01:59:00.000",28.0749206542969,9,"1h","PM10"
2,24,4,5,"2018-10-11 01:59:00.000",4.55389070510864,9,"1h","NO2"
2,20,25,5,"2018-10-11 01:59:00.000",30.8400001525879,9,"1h","PM10"
2,21,4,4,"2018-10-11 01:59:00.000",2.22584891319275,1,"1h","NO2"
2,22,25,9,"2018-10-11 01:59:00.000",30.6831798553467,9,"1h","PM10"
2,25,4,5,"2018-10-11 01:59:00.000",3.41603446006775,9,"1h","NO2"
1,12,7,5,"2018-10-11 01:59:00.000",87.80419921875,9,"1h","O3"
1,36,4,4,"2018-10-11 01:59:00.000",11.6655902862549,9,"1h","NO2"
1,31,7,3,"2018-10-11 01:59:00.000",63.9213180541992,9,"1h","O3"
1,31,4,7,"2018-10-11 01:59:00.000",2.90291118621826,1,"1h","NO2"
1,32,25,2,"2018-10-11 01:59:00.000",29.0900001525879,9,"1h","PM10"
1,33,25,2,"2018-10-11 01:59:00.000",24.4081001281738,9,"1h","PM10"
1,4,7,6,"2018-10-11 01:59:00.000",48.9822387695312,9,"1h","O3"
1,5,7,6,"2018-10-11 01:59:00.000",55.4543151855469,1,"1h","O3"
1,8,25,6,"2018-10-11 01:59:00.000",22.2900009155273,9,"1h","PM10"
1,18,4,4,"2018-10-11 01:59:00.000",6.94180631637573,1,"1h","NO2"
1,18,7,5,"2018-10-11 01:59:00.000",92.9305114746094,1,"1h","O3"
1,13,7,5,"2018-10-11 01:59:00.000",33.1139869689941,9,"1h","O3"
1,13,25,6,"2018-10-11 01:59:00.000",19.545560836792,9,"1h","PM10"
1,15,4,4,"2018-10-11 01:59:00.000",32.5533676147461,9,"1h","NO2"
1,36,7,5,"2018-10-11 01:59:00.000",13.503378868103,9,"1h","O3"
28,1,4,4,"2018-10-11 01:59:00.000",3.4697482585907,9,"1h","NO2"
28,2,4,4,"2018-10-11 01:59:00.000",4.64439105987549,1,"1h","NO2"
28,7,7,12,"2018-10-11 01:59:00.000",62.1507949829102,9,"1h","O3"
28,11,25,1,"2018-10-11 01:59:00.000",26.3994102478027,9,"1h","PM10"
28,12,4,4,"2018-10-11 01:59:00.000",1.36867272853851,9,"1h","NO2"
28,13,4,3,"2018-10-11 01:59:00.000",4.35601377487183,9,"1h","NO2"
28,13,7,4,"2018-10-11 01:59:00.000",61.9829559326172,9,"1h","O3"
3,3,7,5,"2018-10-11 01:59:00.000",102.428787231445,9,"1h","O3"
3,5,4,3,"2018-10-11 01:59:00.000",15.4577684402466,9,"1h","NO2"
3,6,7,5,"2018-10-11 01:59:00.000",78.0783157348633,9,"1h","O3"
3,8,7,5,"2018-10-11 01:59:00.000",73.4851684570312,9,"1h","O3"
3,9,4,4,"2018-10-11 01:59:00.000",22.187650680542,2,"1h","NO2"
3,9,7,5,"2018-10-11 01:59:00.000",50.0112419128418,9,"1h","O3"
1,31,25,2,"2018-10-11 01:59:00.000",40.7762107849121,9,"1h","PM10"
1,32,7,3,"2018-10-11 01:59:00.000",52.2900657653809,1,"1h","O3"
1,32,4,7,"2018-10-11 01:59:00.000",7.821129322052,1,"1h","NO2"
1,33,7,3,"2018-10-11 01:59:00.000",60.9152336120605,1,"1h","O3"
